Indicator,Group,State,lat,long,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maryland,,,Maryland,1,3,May 14 - May 19,05/14/2020,05/19/2020,47.2,41.9,52.6,41.9 - 52.6,45.5-47.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Massachusetts,,,Massachusetts,1,3,May 14 - May 19,05/14/2020,05/19/2020,44.1,40.2,48.1,40.2 - 48.1,42.1-45.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Michigan,,,Michigan,1,3,May 14 - May 19,05/14/2020,05/19/2020,45.5,41.1,50,41.1 - 50.0,45.5-47.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Minnesota,,,Minnesota,1,3,May 14 - May 19,05/14/2020,05/19/2020,41.6,37.1,46.2,37.1 - 46.2,34.9-42.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Mississippi,,,Mississippi,1,3,May 14 - May 19,05/14/2020,05/19/2020,47,41.2,52.9,41.2 - 52.9,45.5-47.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Missouri,,,Missouri,1,3,May 14 - May 19,05/14/2020,05/19/2020,47.5,41.7,53.3,41.7 - 53.3,47.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Montana,,,Montana,1,3,May 14 - May 19,05/14/2020,05/19/2020,50.1,44.5,55.6,44.5 - 55.6,47.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nebraska,,,Nebraska,1,3,May 14 - May 19,05/14/2020,05/19/2020,47.4,41.6,53.2,41.6 - 53.2,45.5-47.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nevada,,,Nevada,1,3,May 14 - May 19,05/14/2020,05/19/2020,42.2,36.9,47.7,36.9 - 47.7,42.1-45.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Hampshire,,,New Hampshire,1,3,May 14 - May 19,05/14/2020,05/19/2020,46.7,40.8,52.8,40.8 - 52.8,45.5-47.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Jersey,,,New Jersey,1,3,May 14 - May 19,05/14/2020,05/19/2020,51,45.6,56.5,45.6 - 56.5,47.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Mexico,,,New Mexico,1,3,May 14 - May 19,05/14/2020,05/19/2020,48.8,43.2,54.5,43.2 - 54.5,47.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New York,,,New York,1,3,May 14 - May 19,05/14/2020,05/19/2020,45.4,40.6,50.4,40.6 - 50.4,42.1-45.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Carolina,,,North Carolina,1,3,May 14 - May 19,05/14/2020,05/19/2020,42,38.5,45.5,38.5 - 45.5,34.9-42.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Dakota,,,North Dakota,1,3,May 14 - May 19,05/14/2020,05/19/2020,40.2,33.3,47.4,33.3 - 47.4,34.9-42.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Ohio,,,Ohio,1,3,May 14 - May 19,05/14/2020,05/19/2020,47.5,41.5,53.5,41.5 - 53.5,47.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oklahoma,,,Oklahoma,1,3,May 14 - May 19,05/14/2020,05/19/2020,35.7,30.7,40.9,30.7 - 40.9,34.9-42.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oregon,,,Oregon,1,3,May 14 - May 19,05/14/2020,05/19/2020,51.7,46.9,56.4,46.9 - 56.4,47.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Pennsylvania,,,Pennsylvania,1,3,May 14 - May 19,05/14/2020,05/19/2020,43.1,38.3,48,38.3 - 48.0,42.1-45.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Rhode Island,,,Rhode Island,1,3,May 14 - May 19,05/14/2020,05/19/2020,44.4,38.5,50.3,38.5 - 50.3,42.1-45.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Carolina,,,South Carolina,1,3,May 14 - May 19,05/14/2020,05/19/2020,43.4,37.6,49.3,37.6 - 49.3,42.1-45.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Dakota,,,South Dakota,1,3,May 14 - May 19,05/14/2020,05/19/2020,38.1,32,44.5,32.0 - 44.5,34.9-42.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Tennessee,,,Tennessee,1,3,May 14 - May 19,05/14/2020,05/19/2020,44.6,39.6,49.6,39.6 - 49.6,42.1-45.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Texas,,,Texas,1,3,May 14 - May 19,05/14/2020,05/19/2020,41.2,37.8,44.6,37.8 - 44.6,34.9-42.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Utah,,,Utah,1,3,May 14 - May 19,05/14/2020,05/19/2020,37.2,32.3,42.3,32.3 - 42.3,34.9-42.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Vermont,,,Vermont,1,3,May 14 - May 19,05/14/2020,05/19/2020,52.5,47,57.9,47.0 - 57.9,47.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Virginia,,,Virginia,1,3,May 14 - May 19,05/14/2020,05/19/2020,44.6,40.2,49.1,40.2 - 49.1,42.1-45.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Washington,,,Washington,1,3,May 14 - May 19,05/14/2020,05/19/2020,48.4,44,52.9,44.0 - 52.9,47.5-54.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,West Virginia,,,West Virginia,1,3,May 14 - May 19,05/14/2020,05/19/2020,34.9,29.1,41,29.1 - 41.0,34.9-42.0
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wisconsin,,,Wisconsin,1,3,May 14 - May 19,05/14/2020,05/19/2020,42.9,38,47.9,38.0 - 47.9,42.1-45.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wyoming,,,Wyoming,1,3,May 14 - May 19,05/14/2020,05/19/2020,48.9,42.3,55.5,42.3 - 55.5,47.5-54.6
"Delayed Medical Care, Last 4 Weeks",National Estimate,United States,,,United States,1,4,May 21 - May 26,05/21/2020,05/26/2020,40.6,39.8,41.5,39.8 - 41.5,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,18 - 29 years,1,4,May 21 - May 26,05/21/2020,05/26/2020,34,31.9,36.2,31.9 - 36.2,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,30 - 39 years,1,4,May 21 - May 26,05/21/2020,05/26/2020,39.9,38.2,41.6,38.2 - 41.6,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,40 - 49 years,1,4,May 21 - May 26,05/21/2020,05/26/2020,42.6,40.7,44.5,40.7 - 44.5,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,50 - 59 years,1,4,May 21 - May 26,05/21/2020,05/26/2020,44.7,42.6,46.7,42.6 - 46.7,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,60 - 69 years,1,4,May 21 - May 26,05/21/2020,05/26/2020,43.2,41.1,45.3,41.1 - 45.3,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,70 - 79 years,1,4,May 21 - May 26,05/21/2020,05/26/2020,37.8,35,40.7,35.0 - 40.7,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,,,80 years and above,1,4,May 21 - May 26,05/21/2020,05/26/2020,41.2,35.4,47.1,35.4 - 47.1,
"Delayed Medical Care, Last 4 Weeks",By Sex,United States,,,Male,1,4,May 21 - May 26,05/21/2020,05/26/2020,37.1,35.8,38.4,35.8 - 38.4,
"Delayed Medical Care, Last 4 Weeks",By Sex,United States,,,Female,1,4,May 21 - May 26,05/21/2020,05/26/2020,43.9,42.9,45,42.9 - 45.0,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,Hispanic or Latino,1,4,May 21 - May 26,05/21/2020,05/26/2020,37.7,35,40.5,35.0 - 40.5,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic White, single race",1,4,May 21 - May 26,05/21/2020,05/26/2020,42.1,41.1,43.2,41.1 - 43.2,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic Black, single race",1,4,May 21 - May 26,05/21/2020,05/26/2020,36.6,34.3,39.1,34.3 - 39.1,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic Asian, single race",1,4,May 21 - May 26,05/21/2020,05/26/2020,35.1,32,38.2,32.0 - 38.2,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic, other races and multiple races",1,4,May 21 - May 26,05/21/2020,05/26/2020,46.9,43.7,50.1,43.7 - 50.1,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,,,Less than a high school diploma,1,4,May 21 - May 26,05/21/2020,05/26/2020,40.1,36,44.4,36.0 - 44.4,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,,,High school diploma or GED,1,4,May 21 - May 26,05/21/2020,05/26/2020,36.2,34.5,37.9,34.5 - 37.9,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,,,Some college/Associate's degree,1,4,May 21 - May 26,05/21/2020,05/26/2020,41.4,40,42.7,40.0 - 42.7,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,,,Bachelor's degree or higher,1,4,May 21 - May 26,05/21/2020,05/26/2020,44.2,43.2,45.1,43.2 - 45.1,
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,,,Alabama,1,4,May 21 - May 26,05/21/2020,05/26/2020,34.6,30.4,38.9,30.4 - 38.9,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,,,Alaska,1,4,May 21 - May 26,05/21/2020,05/26/2020,45.2,40.4,50,40.4 - 50.0,42.7-50.9
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,,,Arizona,1,4,May 21 - May 26,05/21/2020,05/26/2020,41.5,37.1,46.1,37.1 - 46.1,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,,,Arkansas,1,4,May 21 - May 26,05/21/2020,05/26/2020,37.5,32.3,42.8,32.3 - 42.8,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,California,,,California,1,4,May 21 - May 26,05/21/2020,05/26/2020,41,38.2,43.8,38.2 - 43.8,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,,,Colorado,1,4,May 21 - May 26,05/21/2020,05/26/2020,41.4,36.7,46.2,36.7 - 46.2,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,,,Connecticut,1,4,May 21 - May 26,05/21/2020,05/26/2020,43.1,38.8,47.4,38.8 - 47.4,42.7-50.9
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,,,Delaware,1,4,May 21 - May 26,05/21/2020,05/26/2020,30.7,26.3,35.3,26.3 - 35.3,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,,,District of Columbia,1,4,May 21 - May 26,05/21/2020,05/26/2020,38.9,32.5,45.6,32.5 - 45.6,37.6-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Florida,,,Florida,1,4,May 21 - May 26,05/21/2020,05/26/2020,40.4,37.5,43.3,37.5 - 43.3,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,,,Georgia,1,4,May 21 - May 26,05/21/2020,05/26/2020,44.3,39.6,48.9,39.6 - 48.9,42.7-50.9
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,,,Hawaii,1,4,May 21 - May 26,05/21/2020,05/26/2020,36.8,32.6,41.3,32.6 - 41.3,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,,,Idaho,1,4,May 21 - May 26,05/21/2020,05/26/2020,34,29.5,38.8,29.5 - 38.8,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,,,Illinois,1,4,May 21 - May 26,05/21/2020,05/26/2020,44.1,40.1,48.1,40.1 - 48.1,42.7-50.9
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,,,Indiana,1,4,May 21 - May 26,05/21/2020,05/26/2020,42.7,37.7,47.7,37.7 - 47.7,42.7-50.9
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,,,Iowa,1,4,May 21 - May 26,05/21/2020,05/26/2020,37.2,32.3,42.3,32.3 - 42.3,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,,,Kansas,1,4,May 21 - May 26,05/21/2020,05/26/2020,34.2,30,38.7,30.0 - 38.7,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,,,Kentucky,1,4,May 21 - May 26,05/21/2020,05/26/2020,37.5,32.9,42.2,32.9 - 42.2,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,,,Louisiana,1,4,May 21 - May 26,05/21/2020,05/26/2020,46.1,39.7,52.6,39.7 - 52.6,42.7-50.9
"Delayed Medical Care, Last 4 Weeks",By State,Maine,,,Maine,1,4,May 21 - May 26,05/21/2020,05/26/2020,50.9,45.7,56.1,45.7 - 56.1,42.7-50.9
"Delayed Medical Care, Last 4 Weeks",By State,Maryland,,,Maryland,1,4,May 21 - May 26,05/21/2020,05/26/2020,39.5,35.9,43.2,35.9 - 43.2,37.6-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Massachusetts,,,Massachusetts,1,4,May 21 - May 26,05/21/2020,05/26/2020,42.9,38.2,47.6,38.2 - 47.6,42.7-50.9
"Delayed Medical Care, Last 4 Weeks",By State,Michigan,,,Michigan,1,4,May 21 - May 26,05/21/2020,05/26/2020,43.5,39.3,47.8,39.3 - 47.8,42.7-50.9
"Delayed Medical Care, Last 4 Weeks",By State,Minnesota,,,Minnesota,1,4,May 21 - May 26,05/21/2020,05/26/2020,41.8,37.2,46.5,37.2 - 46.5,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,Mississippi,,,Mississippi,1,4,May 21 - May 26,05/21/2020,05/26/2020,44.9,39.6,50.4,39.6 - 50.4,42.7-50.9
"Delayed Medical Care, Last 4 Weeks",By State,Missouri,,,Missouri,1,4,May 21 - May 26,05/21/2020,05/26/2020,36.3,31.8,40.9,31.8 - 40.9,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,Montana,,,Montana,1,4,May 21 - May 26,05/21/2020,05/26/2020,36.8,32,41.9,32.0 - 41.9,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,Nebraska,,,Nebraska,1,4,May 21 - May 26,05/21/2020,05/26/2020,37.7,33.5,42,33.5 - 42.0,37.6-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Nevada,,,Nevada,1,4,May 21 - May 26,05/21/2020,05/26/2020,38.6,34.6,42.8,34.6 - 42.8,37.6-40.3
"Delayed Medical Care, Last 4 Weeks",By State,New Hampshire,,,New Hampshire,1,4,May 21 - May 26,05/21/2020,05/26/2020,42.7,38.6,46.9,38.6 - 46.9,42.7-50.9
"Delayed Medical Care, Last 4 Weeks",By State,New Jersey,,,New Jersey,1,4,May 21 - May 26,05/21/2020,05/26/2020,41.1,36.5,45.7,36.5 - 45.7,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,New Mexico,,,New Mexico,1,4,May 21 - May 26,05/21/2020,05/26/2020,40.2,35.5,45.2,35.5 - 45.2,37.6-40.3
"Delayed Medical Care, Last 4 Weeks",By State,New York,,,New York,1,4,May 21 - May 26,05/21/2020,05/26/2020,40.3,35.7,45.1,35.7 - 45.1,37.6-40.3
"Delayed Medical Care, Last 4 Weeks",By State,North Carolina,,,North Carolina,1,4,May 21 - May 26,05/21/2020,05/26/2020,42.3,37.9,46.9,37.9 - 46.9,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,North Dakota,,,North Dakota,1,4,May 21 - May 26,05/21/2020,05/26/2020,31.2,26.4,36.3,26.4 - 36.3,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,Ohio,,,Ohio,1,4,May 21 - May 26,05/21/2020,05/26/2020,38.4,33.7,43.2,33.7 - 43.2,37.6-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Oklahoma,,,Oklahoma,1,4,May 21 - May 26,05/21/2020,05/26/2020,40.7,35.5,46.1,35.5 - 46.1,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,Oregon,,,Oregon,1,4,May 21 - May 26,05/21/2020,05/26/2020,43.7,39.4,48,39.4 - 48.0,42.7-50.9
"Delayed Medical Care, Last 4 Weeks",By State,Pennsylvania,,,Pennsylvania,1,4,May 21 - May 26,05/21/2020,05/26/2020,40.9,36.1,45.9,36.1 - 45.9,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,Rhode Island,,,Rhode Island,1,4,May 21 - May 26,05/21/2020,05/26/2020,37.9,32.1,44.1,32.1 - 44.1,37.6-40.3
"Delayed Medical Care, Last 4 Weeks",By State,South Carolina,,,South Carolina,1,4,May 21 - May 26,05/21/2020,05/26/2020,36.4,32.1,40.8,32.1 - 40.8,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,,,South Dakota,1,4,May 21 - May 26,05/21/2020,05/26/2020,35.6,30.5,40.9,30.5 - 40.9,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,,,Tennessee,1,4,May 21 - May 26,05/21/2020,05/26/2020,39,35.2,42.8,35.2 - 42.8,37.6-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Texas,,,Texas,1,4,May 21 - May 26,05/21/2020,05/26/2020,39.6,36,43.3,36.0 - 43.3,37.6-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Utah,,,Utah,1,4,May 21 - May 26,05/21/2020,05/26/2020,36,32,40.2,32.0 - 40.2,30.7-37.5
"Delayed Medical Care, Last 4 Weeks",By State,Vermont,,,Vermont,1,4,May 21 - May 26,05/21/2020,05/26/2020,41.6,34.9,48.6,34.9 - 48.6,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,Virginia,,,Virginia,1,4,May 21 - May 26,05/21/2020,05/26/2020,40.8,36.7,44.9,36.7 - 44.9,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,Washington,,,Washington,1,4,May 21 - May 26,05/21/2020,05/26/2020,40.6,37,44.3,37.0 - 44.3,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,West Virginia,,,West Virginia,1,4,May 21 - May 26,05/21/2020,05/26/2020,39.9,32.7,47.4,32.7 - 47.4,37.6-40.3
"Delayed Medical Care, Last 4 Weeks",By State,Wisconsin,,,Wisconsin,1,4,May 21 - May 26,05/21/2020,05/26/2020,42.6,38,47.4,38.0 - 47.4,40.4-42.6
"Delayed Medical Care, Last 4 Weeks",By State,Wyoming,,,Wyoming,1,4,May 21 - May 26,05/21/2020,05/26/2020,40,34.7,45.4,34.7 - 45.4,37.6-40.3
"Did Not Get Needed Care, Last 4 Weeks",National Estimate,United States,,,United States,1,4,May 21 - May 26,05/21/2020,05/26/2020,32.9,32.1,33.6,32.1 - 33.6,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,18 - 29 years,1,4,May 21 - May 26,05/21/2020,05/26/2020,27.2,25.4,29.2,25.4 - 29.2,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,30 - 39 years,1,4,May 21 - May 26,05/21/2020,05/26/2020,31.2,29.8,32.6,29.8 - 32.6,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,40 - 49 years,1,4,May 21 - May 26,05/21/2020,05/26/2020,35.4,33.8,37,33.8 - 37.0,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,50 - 59 years,1,4,May 21 - May 26,05/21/2020,05/26/2020,38,36.2,39.9,36.2 - 39.9,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,60 - 69 years,1,4,May 21 - May 26,05/21/2020,05/26/2020,33.1,31.2,35.1,31.2 - 35.1,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,70 - 79 years,1,4,May 21 - May 26,05/21/2020,05/26/2020,30.8,28.2,33.5,28.2 - 33.5,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,,,80 years and above,1,4,May 21 - May 26,05/21/2020,05/26/2020,34.8,28.7,41.3,28.7 - 41.3,
"Did Not Get Needed Care, Last 4 Weeks",By Sex,United States,,,Male,1,4,May 21 - May 26,05/21/2020,05/26/2020,29.9,28.8,31,28.8 - 31.0,
"Did Not Get Needed Care, Last 4 Weeks",By Sex,United States,,,Female,1,4,May 21 - May 26,05/21/2020,05/26/2020,35.6,34.6,36.6,34.6 - 36.6,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,Hispanic or Latino,1,4,May 21 - May 26,05/21/2020,05/26/2020,32.2,29.5,34.9,29.5 - 34.9,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic White, single race",1,4,May 21 - May 26,05/21/2020,05/26/2020,33.2,32.2,34.2,32.2 - 34.2,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic Black, single race",1,4,May 21 - May 26,05/21/2020,05/26/2020,32.1,29.7,34.5,29.7 - 34.5,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic Asian, single race",1,4,May 21 - May 26,05/21/2020,05/26/2020,26.1,23.5,28.9,23.5 - 28.9,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,,,"Non-Hispanic, other races and multiple races",1,4,May 21 - May 26,05/21/2020,05/26/2020,41.5,37.6,45.5,37.6 - 45.5,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,,,Less than a high school diploma,1,4,May 21 - May 26,05/21/2020,05/26/2020,36,31.4,40.7,31.4 - 40.7,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,,,High school diploma or GED,1,4,May 21 - May 26,05/21/2020,05/26/2020,30.6,29.2,32,29.2 - 32.0,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,,,Some college/Associate's degree,1,4,May 21 - May 26,05/21/2020,05/26/2020,35.7,34.4,37,34.4 - 37.0,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,,,Bachelor's degree or higher,1,4,May 21 - May 26,05/21/2020,05/26/2020,31.5,30.4,32.6,30.4 - 32.6,
"Did Not Get Needed Care, Last 4 Weeks",By State,Alabama,,,Alabama,1,4,May 21 - May 26,05/21/2020,05/26/2020,28.8,25.2,32.6,25.2 - 32.6,24.4-29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Alaska,,,Alaska,1,4,May 21 - May 26,05/21/2020,05/26/2020,38.3,32.9,44,32.9 - 44.0,35.3-38.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Arizona,,,Arizona,1,4,May 21 - May 26,05/21/2020,05/26/2020,36.2,31.8,40.7,31.8 - 40.7,35.3-38.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Arkansas,,,Arkansas,1,4,May 21 - May 26,05/21/2020,05/26/2020,32.5,27.8,37.5,27.8 - 37.5,30.0-32.8
"Did Not Get Needed Care, Last 4 Weeks",By State,California,,,California,1,4,May 21 - May 26,05/21/2020,05/26/2020,32.8,30.1,35.7,30.1 - 35.7,30.0-32.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Colorado,,,Colorado,1,4,May 21 - May 26,05/21/2020,05/26/2020,32.7,28.4,37.2,28.4 - 37.2,30.0-32.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Connecticut,,,Connecticut,1,4,May 21 - May 26,05/21/2020,05/26/2020,33.6,29.8,37.5,29.8 - 37.5,32.9-35.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Delaware,,,Delaware,1,4,May 21 - May 26,05/21/2020,05/26/2020,30.7,25.1,36.8,25.1 - 36.8,30.0-32.8
"Did Not Get Needed Care, Last 4 Weeks",By State,District of Columbia,,,District of Columbia,1,4,May 21 - May 26,05/21/2020,05/26/2020,29.9,21.7,39.2,21.7 - 39.2,24.4-29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Florida,,,Florida,1,4,May 21 - May 26,05/21/2020,05/26/2020,33,30.1,35.9,30.1 - 35.9,32.9-35.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Georgia,,,Georgia,1,4,May 21 - May 26,05/21/2020,05/26/2020,33.8,30.2,37.5,30.2 - 37.5,32.9-35.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Hawaii,,,Hawaii,1,4,May 21 - May 26,05/21/2020,05/26/2020,26.8,22.3,31.7,22.3 - 31.7,24.4-29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Idaho,,,Idaho,1,4,May 21 - May 26,05/21/2020,05/26/2020,26.5,22.5,30.8,22.5 - 30.8,24.4-29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Illinois,,,Illinois,1,4,May 21 - May 26,05/21/2020,05/26/2020,35.7,31.6,40,31.6 - 40.0,35.3-38.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Indiana,,,Indiana,1,4,May 21 - May 26,05/21/2020,05/26/2020,33.8,30.2,37.5,30.2 - 37.5,32.9-35.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Iowa,,,Iowa,1,4,May 21 - May 26,05/21/2020,05/26/2020,28,23.4,32.8,23.4 - 32.8,24.4-29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Kansas,,,Kansas,1,4,May 21 - May 26,05/21/2020,05/26/2020,31.1,27.3,35,27.3 - 35.0,30.0-32.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Kentucky,,,Kentucky,1,4,May 21 - May 26,05/21/2020,05/26/2020,35.6,31.6,39.8,31.6 - 39.8,35.3-38.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Louisiana,,,Louisiana,1,4,May 21 - May 26,05/21/2020,05/26/2020,38.1,33.4,43.1,33.4 - 43.1,35.3-38.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Maine,,,Maine,1,4,May 21 - May 26,05/21/2020,05/26/2020,38.8,33.3,44.5,33.3 - 44.5,35.3-38.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Maryland,,,Maryland,1,4,May 21 - May 26,05/21/2020,05/26/2020,33,28.6,37.5,28.6 - 37.5,32.9-35.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Massachusetts,,,Massachusetts,1,4,May 21 - May 26,05/21/2020,05/26/2020,33.1,29.2,37.1,29.2 - 37.1,32.9-35.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Michigan,,,Michigan,1,4,May 21 - May 26,05/21/2020,05/26/2020,37.8,34.1,41.7,34.1 - 41.7,35.3-38.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Minnesota,,,Minnesota,1,4,May 21 - May 26,05/21/2020,05/26/2020,32.2,27.8,36.9,27.8 - 36.9,30.0-32.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Mississippi,,,Mississippi,1,4,May 21 - May 26,05/21/2020,05/26/2020,35.2,30.1,40.6,30.1 - 40.6,32.9-35.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Missouri,,,Missouri,1,4,May 21 - May 26,05/21/2020,05/26/2020,29.6,25.2,34.4,25.2 - 34.4,24.4-29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Montana,,,Montana,1,4,May 21 - May 26,05/21/2020,05/26/2020,30.9,26.2,35.9,26.2 - 35.9,30.0-32.8
